report_date,client_hash_id,content_hash_id,month,gsc_impressions,ctr,model_score,baseline_score,reason
2026-06-23,client_a60a11451483af1c,content_9de528e766d683a0,2026-06,5.0,0.4,1.0,1.791759469228055,low_engagement
2026-06-23,client_a60a11451483af1c,content_7011840d98a73697,2026-06,5.0,0.4,1.0,1.791759469228055,low_engagement
2026-06-23,client_a60a11451483af1c,content_ed5eb0fbf1c23e55,2026-06,5.0,0.4,1.0,1.791759469228055,low_engagement
2026-06-23,client_a60a11451483af1c,content_562d34abc366321e,2026-06,5.0,0.4,1.0,1.791759469228055,low_engagement
2026-06-23,client_a60a11451483af1c,content_56157c986e77cab0,2026-06,5.0,0.4,1.0,1.791759469228055,low_engagement
2026-06-23,client_a60a11451483af1c,content_f2549ed87101aa5c,2026-06,5.0,0.4,1.0,1.791759469228055,low_engagement
2026-06-23,client_a60a11451483af1c,content_41619ea07c54f5d2,2026-06,5.0,0.4,1.0,1.791759469228055,low_engagement
2026-06-23,client_a60a11451483af1c,content_14c8277f8dfe012b,2026-06,5.0,0.4,1.0,1.791759469228055,low_engagement
2026-06-23,client_a60a11451483af1c,content_8db95538445e9446,2026-06,5.0,0.4,1.0,1.791759469228055,low_engagement
2026-06-23,client_a60a11451483af1c,content_bfb59f4fe70a0926,2026-06,5.0,0.4,1.0,1.791759469228055,low_engagement
2026-06-23,client_a60a11451483af1c,content_d426f22094d49e84,2026-06,5.0,0.4,1.0,1.791759469228055,low_engagement
2026-06-23,client_a60a11451483af1c,content_97c29af0d23b4590,2026-06,5.0,0.4,1.0,1.791759469228055,low_engagement
2026-06-23,client_a60a11451483af1c,content_7bcbbf7713740471,2026-06,5.0,0.4,1.0,1.791759469228055,low_engagement
2026-06-23,client_a60a11451483af1c,content_ad8b8b046cd0c166,2026-06,5.0,0.4,1.0,1.791759469228055,low_engagement
2026-06-23,client_a60a11451483af1c,content_331ce21008a060a8,2026-06,5.0,0.4,1.0,1.791759469228055,low_engagement
2026-06-23,client_a60a11451483af1c,content_dbfe5024d286b45f,2026-06,5.0,0.4,1.0,1.791759469228055,low_engagement
2026-06-21,client_e547b89c05043229,content_425a23ff83f9f448,2026-06,1245.0,0.00963855421686747,0.999440836940837,7.1276936993473985,visible_low_ctr
2026-06-01,client_e5c2aa26a8598242,content_ef7013c86d07aa99,2026-06,5711.0,0.006478725267028541,0.999440836940837,8.65032450401942,visible_low_ctr
2026-06-21,client_73cda7b4e4f265ea,content_e241d6415ac9e534,2026-06,2722.0,0.0036737692872887582,0.999440836940837,7.909489492673759,visible_low_ctr
2026-06-29,client_73cda7b4e4f265ea,content_d05e0430fd90baa6,2026-06,1807.0,0.004427227448810182,0.9991979219610799,7.4999765409521215,visible_low_ctr
2026-06-14,client_73cda7b4e4f265ea,content_44aa58c15213aa83,2026-06,2348.0,0.0034071550255536627,0.9991979219610799,7.761744984658913,visible_low_ctr
2026-06-04,client_23a62021009f63c4,content_68d2e449382ab455,2026-06,2216.0,0.013086642599277979,0.9991979219610799,7.7039102096163115,low_engagement
2026-06-22,client_73cda7b4e4f265ea,content_3b8638bf882420e3,2026-06,2165.0,0.006004618937644342,0.9991979219610799,7.680637427560936,visible_low_ctr|low_engagement
2026-06-10,client_73cda7b4e4f265ea,content_456b4254b508afe3,2026-06,1539.0,0.004548408057179987,0.9991979219610799,7.3395376954076745,visible_low_ctr|low_engagement
2026-06-04,client_73cda7b4e4f265ea,content_75a700ed65ccf13f,2026-06,2599.0,0.005001923816852636,0.9991979219610799,7.8632667240095735,visible_low_ctr
2026-06-12,client_e5c2aa26a8598242,content_0706a728ff0e2a99,2026-06,1044.0,0.004789272030651341,0.9991475576129042,6.951772164398911,visible_low_ctr
2026-06-10,client_a80fca3f171ed1de,content_a280a6598b46e6b3,2026-06,2010.0,0.0014925373134328358,0.9991053241364445,7.606387389772652,visible_low_ctr
2026-06-09,client_73cda7b4e4f265ea,content_a503431efe530d6a,2026-06,5196.0,0.0013471901462663587,0.9990717202419331,8.555836815008442,visible_low_ctr
2026-06-02,client_0fa64a184f18a4a0,content_1c2c41e319bb7a6a,2026-06,1205.0,0.02074688796680498,0.9989862914862914,7.095064377287131,monitor
2026-06-01,client_0fa64a184f18a4a0,content_e79f8b4c16bbb7e7,2026-06,1906.0,0.006820566631689402,0.9989862914862914,7.553286605600419,visible_low_ctr
2026-06-02,client_73cda7b4e4f265ea,content_43a65cca6b2dc158,2026-06,669.0,0.01046337817638266,0.9989851560036329,6.507277712385012,low_engagement
2026-06-03,client_0fa64a184f18a4a0,content_809ab284e58267ee,2026-06,717.0,0.011157601115760111,0.998975545730865,6.576469569048224,monitor
2026-06-12,client_e5c2aa26a8598242,content_c638f20a9f2e23c9,2026-06,1746.0,0.003436426116838488,0.9989473478328901,7.465655310134056,visible_low_ctr
2026-06-06,client_73cda7b4e4f265ea,content_557fcbc2734f343f,2026-06,527.0,0.007590132827324478,0.9989295635207036,6.269096283706261,visible_low_ctr
2026-06-08,client_a80fca3f171ed1de,content_2ec6a49f83a3d25e,2026-06,1299.0,0.005388760585065435,0.9989065937574825,7.170119543449628,visible_low_ctr
2026-06-12,client_e547b89c05043229,content_96d97df9a573f464,2026-06,425.0,0.018823529411764704,0.9988635569200435,6.054439346269371,monitor
2026-06-01,client_20259bd6705d81d4,content_6c0351d021143c7a,2026-06,945.0,0.020105820105820106,0.9987590187590187,6.852242569051878,monitor
2026-06-11,client_73cda7b4e4f265ea,content_6c6a69876c8dd2d3,2026-06,865.0,0.006936416184971098,0.9987433765065343,6.763884908562435,visible_low_ctr
2026-06-22,client_73cda7b4e4f265ea,content_18effdf03138153d,2026-06,1974.0,0.007598784194528876,0.9987433765065343,7.5883236773352225,visible_low_ctr
2026-06-03,client_73cda7b4e4f265ea,content_0327a4db985497ea,2026-06,796.0,0.008793969849246231,0.9987433765065343,6.680854678790215,visible_low_ctr
2026-06-10,client_73cda7b4e4f265ea,content_f0c55efedf3ed34f,2026-06,429.0,0.011655011655011656,0.9986206419402863,6.063785208687608,low_engagement
2026-06-05,client_b77d0d5f08f05e64,content_ac1ddc0c0e79289f,2026-06,2074.0,0.009161041465766635,0.9986171747873875,7.637716432664798,visible_low_ctr
2026-06-30,client_73cda7b4e4f265ea,content_928c585777e875ab,2026-06,2535.0,0.005128205128205128,0.9984891959700885,7.8383433155571165,visible_low_ctr|low_engagement
2026-06-01,client_73cda7b4e4f265ea,content_9a808a0e8a0846d9,2026-06,1846.0,0.008125677139761646,0.9984891959700885,7.52131798019924,visible_low_ctr|low_engagement
2026-06-09,client_73cda7b4e4f265ea,content_6a9c79f55413b447,2026-06,869.0,0.005753739930955121,0.9984867540700972,6.76849321164863,visible_low_ctr
2026-06-11,client_73cda7b4e4f265ea,content_6d1435f76c4c1887,2026-06,416.0,0.009615384615384616,0.998441269742977,6.0330862217988015,visible_low_ctr|low_engagement
2026-06-28,client_73cda7b4e4f265ea,content_1d63e464d261f25f,2026-06,549.0,0.007285974499089253,0.9984186217382661,6.309918278226516,visible_low_ctr|low_engagement
2026-06-20,client_73cda7b4e4f265ea,content_2893ed47cfeea9a7,2026-06,1271.0,0.0055074744295830055,0.9983996957969999,7.148345743900068,visible_low_ctr|low_engagement
2026-06-30,client_73cda7b4e4f265ea,content_2bd92a2100901bc6,2026-06,994.0,0.002012072434607646,0.9983515397682023,6.902742737158593,visible_low_ctr
2026-06-23,client_0fa64a184f18a4a0,content_a4f6ae139e17a390,2026-06,1225.0,0.009795918367346938,0.9982533061992248,7.111512116496157,visible_low_ctr
2026-06-01,client_73cda7b4e4f265ea,content_0ac1cb61c13b00b0,2026-06,2220.0,0.0036036036036036037,0.9982457902146754,7.7057128238944275,visible_low_ctr
2026-06-07,client_73cda7b4e4f265ea,content_0e3f93e573464a71,2026-06,3476.0,0.0034522439585730723,0.9980191917271755,8.153925132007862,visible_low_ctr|low_engagement
2026-06-06,client_73cda7b4e4f265ea,content_da4726a6aced1c83,2026-06,2590.0,0.0034749034749034747,0.9978874302847345,7.85979918056211,visible_low_ctr|low_engagement
2026-06-04,client_73cda7b4e4f265ea,content_5db11016dfbd608b,2026-06,1064.0,0.006578947368421052,0.997847484740142,6.970730078143525,visible_low_ctr|low_engagement
2026-06-21,client_e5c2aa26a8598242,content_8688bf78ada3963f,2026-06,609.0,0.008210180623973728,0.9977787390356535,6.413458957167357,visible_low_ctr|low_engagement
2026-06-13,client_2094c6eb080311d5,content_63eb9381a2e8b5fc,2026-06,569.0,0.008787346221441126,0.9976322768827037,6.345636360828596,visible_low_ctr
2026-06-07,client_73cda7b4e4f265ea,content_fa19b056cd7a49a4,2026-06,4030.0,0.0024813895781637717,0.9975038700227067,8.301769763117166,visible_low_ctr|low_engagement
